Year,UnqID,Date,Weather,Time,Day,Round,Dir,Path,Mode,Count
2022 W1 spring,ML2041,30/06/2022,n/a,11:45:00,Weekday,A,Eastbound,n/a,Cycles,23
2022 W1 spring,ML2041,30/06/2022,n/a,12:00:00,Weekday,A,Eastbound,n/a,Cycles,30
2022 W1 spring,ML2041,30/06/2022,n/a,12:15:00,Weekday,A,Eastbound,n/a,Cycles,27
2022 W1 spring,ML2041,30/06/2022,n/a,12:30:00,Weekday,A,Eastbound,n/a,Cycles,39
2022 W1 spring,ML2041,30/06/2022,n/a,12:45:00,Weekday,A,Eastbound,n/a,Cycles,40
2022 W1 spring,ML2041,30/06/2022,n/a,13:00:00,Weekday,A,Eastbound,n/a,Cycles,33
2022 W1 spring,ML2041,30/06/2022,n/a,13:15:00,Weekday,A,Eastbound,n/a,Cycles,36
2022 W1 spring,ML2041,30/06/2022,n/a,13:30:00,Weekday,A,Eastbound,n/a,Cycles,37
2022 W1 spring,ML2041,30/06/2022,n/a,13:45:00,Weekday,A,Eastbound,n/a,Cycles,37
2022 W1 spring,ML2041,30/06/2022,n/a,14:00:00,Weekday,A,Eastbound,n/a,Cycles,33
2022 W1 spring,ML2041,30/06/2022,n/a,14:15:00,Weekday,A,Eastbound,n/a,Cycles,39
2022 W1 spring,ML2041,30/06/2022,n/a,14:30:00,Weekday,A,Eastbound,n/a,Cycles,32
2022 W1 spring,ML2041,30/06/2022,n/a,14:45:00,Weekday,A,Eastbound,n/a,Cycles,33
2022 W1 spring,ML2041,30/06/2022,n/a,15:00:00,Weekday,A,Eastbound,n/a,Cycles,38
2022 W1 spring,ML2041,30/06/2022,n/a,15:15:00,Weekday,A,Eastbound,n/a,Cycles,46
2022 W1 spring,ML2041,30/06/2022,n/a,15:30:00,Weekday,A,Eastbound,n/a,Cycles,47
2022 W1 spring,ML2041,30/06/2022,n/a,15:45:00,Weekday,A,Eastbound,n/a,Cycles,41
2022 W1 spring,ML2041,30/06/2022,n/a,16:00:00,Weekday,A,Eastbound,n/a,Cycles,34
2022 W1 spring,ML2041,30/06/2022,n/a,16:15:00,Weekday,A,Eastbound,n/a,Cycles,53
2022 W1 spring,ML2041,30/06/2022,n/a,16:30:00,Weekday,A,Eastbound,n/a,Cycles,71
2022 W1 spring,ML2041,30/06/2022,n/a,16:45:00,Weekday,A,Eastbound,n/a,Cycles,71
2022 W1 spring,ML2041,30/06/2022,n/a,17:00:00,Weekday,A,Eastbound,n/a,Cycles,79
2022 W1 spring,ML2041,30/06/2022,n/a,17:15:00,Weekday,A,Eastbound,n/a,Cycles,113
2022 W1 spring,ML2041,30/06/2022,n/a,17:30:00,Weekday,A,Eastbound,n/a,Cycles,129
2022 W1 spring,ML2041,30/06/2022,n/a,17:45:00,Weekday,A,Eastbound,n/a,Cycles,141
2022 W1 spring,ML2041,30/06/2022,n/a,18:00:00,Weekday,A,Eastbound,n/a,Cycles,129
2022 W1 spring,ML2041,30/06/2022,n/a,18:15:00,Weekday,A,Eastbound,n/a,Cycles,140
2022 W1 spring,ML2041,30/06/2022,n/a,18:30:00,Weekday,A,Eastbound,n/a,Cycles,116
2022 W1 spring,ML2041,30/06/2022,n/a,18:45:00,Weekday,A,Eastbound,n/a,Cycles,119
2022 W1 spring,ML2041,30/06/2022,n/a,19:00:00,Weekday,A,Eastbound,n/a,Cycles,85
2022 W1 spring,ML2041,30/06/2022,n/a,19:15:00,Weekday,A,Eastbound,n/a,Cycles,78
2022 W1 spring,ML2041,30/06/2022,n/a,19:30:00,Weekday,A,Eastbound,n/a,Cycles,86
2022 W1 spring,ML2041,30/06/2022,n/a,19:45:00,Weekday,A,Eastbound,n/a,Cycles,72
2022 W1 spring,ML2041,30/06/2022,n/a,20:00:00,Weekday,A,Eastbound,n/a,Cycles,66
2022 W1 spring,ML2041,30/06/2022,n/a,20:15:00,Weekday,A,Eastbound,n/a,Cycles,61
2022 W1 spring,ML2041,30/06/2022,n/a,20:30:00,Weekday,A,Eastbound,n/a,Cycles,48
2022 W1 spring,ML2041,30/06/2022,n/a,20:45:00,Weekday,A,Eastbound,n/a,Cycles,37
2022 W1 spring,ML2041,30/06/2022,n/a,21:00:00,Weekday,A,Eastbound,n/a,Cycles,44
2022 W1 spring,ML2041,30/06/2022,n/a,21:15:00,Weekday,A,Eastbound,n/a,Cycles,53
2022 W1 spring,ML2041,30/06/2022,n/a,21:30:00,Weekday,A,Eastbound,n/a,Cycles,33
2022 W1 spring,ML2041,30/06/2022,n/a,21:45:00,Weekday,A,Eastbound,n/a,Cycles,34
2022 W1 spring,ML2041,30/06/2022,n/a,06:00:00,Weekday,A,Westbound,n/a,Cycles,14
2022 W1 spring,ML2041,30/06/2022,n/a,06:15:00,Weekday,A,Westbound,n/a,Cycles,27
2022 W1 spring,ML2041,30/06/2022,n/a,06:30:00,Weekday,A,Westbound,n/a,Cycles,50
2022 W1 spring,ML2041,30/06/2022,n/a,06:45:00,Weekday,A,Westbound,n/a,Cycles,58
2022 W1 spring,ML2041,30/06/2022,n/a,07:00:00,Weekday,A,Westbound,n/a,Cycles,70
2022 W1 spring,ML2041,30/06/2022,n/a,07:15:00,Weekday,A,Westbound,n/a,Cycles,85
2022 W1 spring,ML2041,30/06/2022,n/a,07:30:00,Weekday,A,Westbound,n/a,Cycles,94
2022 W1 spring,ML2041,30/06/2022,n/a,07:45:00,Weekday,A,Westbound,n/a,Cycles,118
2022 W1 spring,ML2041,30/06/2022,n/a,08:00:00,Weekday,A,Westbound,n/a,Cycles,117
2022 W1 spring,ML2041,30/06/2022,n/a,08:15:00,Weekday,A,Westbound,n/a,Cycles,164
2022 W1 spring,ML2041,30/06/2022,n/a,08:30:00,Weekday,A,Westbound,n/a,Cycles,188
2022 W1 spring,ML2041,30/06/2022,n/a,08:45:00,Weekday,A,Westbound,n/a,Cycles,170
2022 W1 spring,ML2041,30/06/2022,n/a,09:00:00,Weekday,A,Westbound,n/a,Cycles,139
2022 W1 spring,ML2041,30/06/2022,n/a,09:15:00,Weekday,A,Westbound,n/a,Cycles,92
2022 W1 spring,ML2041,30/06/2022,n/a,09:30:00,Weekday,A,Westbound,n/a,Cycles,80
2022 W1 spring,ML2041,30/06/2022,n/a,09:45:00,Weekday,A,Westbound,n/a,Cycles,78
2022 W1 spring,ML2041,30/06/2022,n/a,10:00:00,Weekday,A,Westbound,n/a,Cycles,49
2022 W1 spring,ML2041,30/06/2022,n/a,10:15:00,Weekday,A,Westbound,n/a,Cycles,31
2022 W1 spring,ML2041,30/06/2022,n/a,10:30:00,Weekday,A,Westbound,n/a,Cycles,43
2022 W1 spring,ML2041,30/06/2022,n/a,10:45:00,Weekday,A,Westbound,n/a,Cycles,34
2022 W1 spring,ML2041,30/06/2022,n/a,11:00:00,Weekday,A,Westbound,n/a,Cycles,38
2022 W1 spring,ML2041,30/06/2022,n/a,11:15:00,Weekday,A,Westbound,n/a,Cycles,35
2022 W1 spring,ML2041,30/06/2022,n/a,11:30:00,Weekday,A,Westbound,n/a,Cycles,33
2022 W1 spring,ML2041,30/06/2022,n/a,11:45:00,Weekday,A,Westbound,n/a,Cycles,41
2022 W1 spring,ML2041,30/06/2022,n/a,12:00:00,Weekday,A,Westbound,n/a,Cycles,46
